year,month,PDSI,rank ,SPEI-12,rank 
1966,May,-2.98,2,-1.81558,1
,June,-3.4,2,-1.59211,3
,July,-4.08,2,-1.82143,2
,August,-4.82,1,-2.31902,1
1977,May,-2.96,3,-0.55995,15
,June,-3.28,3,-1.02211,6
,July,-3.61,3,-1.15754,6
,August,-3.68,3,-1.25919,5
1999,May,-3.63,1,-1.53213,2
,June,-4.21,1,-2.17327,1
,July,-4.53,1,-2.05719,1
,August,-4.64,2,-2.10613,2
1964,May,-1.08,20,-0.95005,8
,June,-1.97,11,-1.52262,4
,July,-2.46,8,-1.4164,3
,August,-2.98,5,-1.73564,4
1991,May,-1.79,10,0.72003,39
,June,-2.1,10,0.99093,42
,July,-2.17,10,0.48912,36
,August,-3.06,4,-0.03232,22
2007,May,-1.37,16,0.568,32
,June,-1.59,16,-0.23301,16
,July,-2.4,9,-0.46184,13
,August,-2.55,11,0.12468,26
