"date","noaa_pdsi","noaa_scpdsi","noaa_va_pdsi","cru_scpdsi","win_pdsi","win_scpdsi"
1850-01-01,NA,NA,NA,NA,NA,NA
1850-02-01,NA,NA,NA,NA,NA,NA
1850-03-01,NA,NA,NA,NA,NA,NA
1850-04-01,NA,NA,NA,NA,NA,NA
1850-05-01,NA,NA,NA,NA,NA,NA
1850-06-01,NA,NA,NA,NA,NA,NA
1850-07-01,NA,NA,NA,NA,NA,NA
1850-08-01,NA,NA,NA,NA,NA,NA
1850-09-01,NA,NA,NA,NA,NA,NA
1850-10-01,NA,NA,NA,NA,NA,NA
1850-11-01,NA,NA,NA,NA,NA,NA
1850-12-01,NA,NA,NA,NA,NA,NA
1851-01-01,NA,NA,NA,NA,NA,NA
1851-02-01,NA,NA,NA,NA,NA,NA
1851-03-01,NA,NA,NA,NA,NA,NA
1851-04-01,NA,NA,NA,NA,NA,NA
1851-05-01,NA,NA,NA,NA,NA,NA
1851-06-01,NA,NA,NA,NA,NA,NA
1851-07-01,NA,NA,NA,NA,NA,NA
1851-08-01,NA,NA,NA,NA,NA,NA
1851-09-01,NA,NA,NA,NA,NA,NA
1851-10-01,NA,NA,NA,NA,NA,NA
1851-11-01,NA,NA,NA,NA,NA,NA
1851-12-01,NA,NA,NA,NA,NA,NA
1852-01-01,NA,NA,NA,NA,NA,NA
1852-02-01,NA,NA,NA,NA,NA,NA
1852-03-01,NA,NA,NA,NA,NA,NA
1852-04-01,NA,NA,NA,NA,NA,NA
1852-05-01,NA,NA,NA,NA,NA,NA
1852-06-01,NA,NA,NA,NA,NA,NA
1852-07-01,NA,NA,NA,NA,NA,NA
1852-08-01,NA,NA,NA,NA,NA,NA
1852-09-01,NA,NA,NA,NA,NA,NA
1852-10-01,NA,NA,NA,NA,NA,NA
1852-11-01,NA,NA,NA,NA,NA,NA
1852-12-01,NA,NA,NA,NA,NA,NA
1853-01-01,NA,NA,NA,NA,NA,NA
1853-02-01,NA,NA,NA,NA,NA,NA
1853-03-01,NA,NA,NA,NA,NA,NA
1853-04-01,NA,NA,NA,NA,NA,NA
1853-05-01,NA,NA,NA,NA,NA,NA
1853-06-01,NA,NA,NA,NA,NA,NA
1853-07-01,NA,NA,NA,NA,NA,NA
1853-08-01,NA,NA,NA,NA,NA,NA
1853-09-01,NA,NA,NA,NA,NA,NA
1853-10-01,NA,NA,NA,NA,NA,NA
1853-11-01,NA,NA,NA,NA,NA,NA
1853-12-01,NA,NA,NA,NA,NA,NA
1854-01-01,NA,NA,NA,NA,NA,NA
1854-02-01,NA,NA,NA,NA,NA,NA
1854-03-01,NA,NA,NA,NA,NA,NA
1854-04-01,NA,NA,NA,NA,NA,NA
1854-05-01,NA,NA,NA,NA,NA,NA
1854-06-01,NA,NA,NA,NA,NA,NA
1854-07-01,NA,NA,NA,NA,NA,NA
1854-08-01,NA,NA,NA,NA,NA,NA
