species,"$\%\,ANPP_{stem}$ ",n trees,mean,range,"$WD$ $(g\,cm^{-3})$","$LMA$ $(g\,cm^{-2})$",xylem porosity,$\pi_{tlp}$ (Mpa),$PLA$  $(\%)$
Liriodendron tulipifera (LITU),47.1,98,368.54,100 - 1004,0.4 $\pm$ 0.03,46.92 $\pm$ 12.38,diffuse,-1.92 $\pm$ 0.17,19.56 $\pm$ 2.06
Quercus alba (QUAL),10.7,61,471.51,114 - 791,0.61 $\pm$ 0.02,75.8 $\pm$ 11.05,ring,-2.58 $\pm$ 0.08,8.52 $\pm$ 0.37
Quercus rubra (QURU),10.1,69,548.79,110.7 - 1480,0.62 $\pm$ 0.02,71.13 $\pm$ 6.70,ring,-2.64 $\pm$ 0.28,11.01 $\pm$  0.84
Quercus velutina (QUVE),7.8,77,541.38,160.2 - 1142,0.65 $\pm$ 0.04,48.69 $\pm$ 3.30,ring,-2.39 $\pm$ 0.15,13.42 $\pm$  0.84
Quercus montana (QUPR),4.8,59,422.48,105 - 872,0.61 $\pm$ 0.01,71.77 $\pm$ 40.17,ring,-2.36 $\pm$ 0.09,11.75 $\pm$  1.37
"Fraxinus americana (FRAM)	",3.8,62,353.63,64 - 947.3,0.56 $\pm$ 0.01,43.28 $\pm$ 4.78,ring,-2.1 $\pm$ 0.36,13.06 $\pm$ 1.06
Carya glabra (CAGL),3.7,31,313.89,98 - 985,0.62 $\pm$ 0.04,42.76 $\pm$ 0.94,ring,-2.13 $\pm$ 0.50,21.09 $\pm$  5.48
Juglans nigra (JUNI),2.1,31,481.42,242 - 870,1.09 $\pm$ 0.09,72.13 $\pm$ 7.10,semi-ring,-2.76 $\pm$ 0.21,24.64 $\pm$  8.72
Carya cordiformis (CACO),2,13,271.87,107 - 615,0.83 $\pm$ 0.10,45.86 $\pm$ 15.60,ring,-2.13 $\pm$ 0.45,17.22 $\pm$ 2.25
Carya tomentosa (CATO),2,13,209.74,121 - 322.1,0.83,45.36,ring,-2.2,16.56
Fagus grandifolia (FAGR),1.5,80,235.11,112 - 1072,0.62 $\pm$ 0.03,30.68 $\pm$ 4.94,diffuse,-2.57,9.45 $\pm$  1.25
Carya ovalis (CAOVL),1.1,23,352.87,149 - 660,0.96 $\pm$ 0.33,47.6 $\pm$ 3.95,ring,-2.48 $\pm$ 0.04,14.8 $\pm$  6.34
