"Year","Tree","$Rt$","$Rt_{ARIMA}$"
1966,132018,0.66,0.59
1977,132018,0.66,0.71
1999,132018,0.92,0.81
1966,50488,1.48,0.65
1977,50488,0.39,0.34
1999,50488,0.9,0.65
1966,60059,0.79,0.95
1977,60059,0.72,0.78
1999,60059,0.78,0.73
1966,80625,0.79,0.82
1977,80625,0.52,0.55
1999,80625,0.74,1
1966,121105,0.86,0.85
1977,121105,1.05,1.15
1999,121105,0.71,0.82
1966,131113,0.79,0.83
1977,131113,0.75,0.79
1999,131113,1.05,1.02
1966,70256,0.8,0.73
1977,70256,0.75,0.79
1999,70256,0.83,1.04
1966,50246,0.63,0.79
1977,50246,0.7,0.61
1999,50246,0.67,0.7
1966,111094,0.51,0.47
1977,111094,1.1,1.03
1999,111094,1.26,1.15
1966,152053,1.74,1.65
1977,152053,0.88,0.91
1999,152053,1.32,1.38
1966,70269,0.94,0.78
1977,70269,0.59,0.58
1999,70269,0.76,0.7
1966,80640,0.76,0.77
1977,80640,0.62,0.54
1999,80640,1.94,1.58
1966,70162,0.57,0.5
1977,70162,0.61,0.52
1999,70162,1.72,1.63
1966,91302,0.77,0.73
1977,91302,0.67,0.73
1999,91302,0.8,0.82
1966,91332,0.96,0.81
1977,91332,0.79,0.76
1999,91332,0.93,0.92
1966,50336,0.63,0.53
1977,50336,0.92,0.59
1999,50336,0.99,1.18
1966,80554,0.89,0.9
1977,80554,0.45,0.45
1999,80554,0.79,0.69
1966,50356,0.64,0.68
1977,50356,0.57,0.52
1999,50356,1.02,0.99
1966,90552,0.76,0.92
1977,90552,0.57,0.69
1999,90552,1.1,1.08
1966,60111,0.68,0.55
1977,60111,1.24,1
1999,60111,0.83,0.88
1966,152529,0.69,0.8
1977,152529,0.84,1
1999,152529,0.58,0.57
1977,30483,0.99,0.59
1999,30483,0.66,0.7
1966,50557,1.63,1.34
1977,50557,1.08,1.01
1999,50557,0.9,0.84
1966,40563,0.53,0.52
1977,40563,1.05,1.12
1999,40563,1.13,1.45
1966,30233,0.68,0.66
1977,30233,0.55,0.82
1999,30233,0.62,0.56
1966,30214,0.9,0.64
1977,30214,0.81,0.49
1999,30214,0.78,0.75
1966,192697,1,0.92
1977,192697,0.76,0.79
1999,192697,1.31,1.34
1966,142178,0.94,0.84
1977,142178,0.66,0.81
1999,142178,0.84,0.87
1966,171358,1.47,1.07
1977,171358,1.32,1.4
1999,171358,1.02,0.87
1966,202536,0.82,0.74
1977,202536,1.29,1.03
1999,202536,1.27,1.26
1966,182396,0.72,0.67
1977,182396,0.85,0.92
1999,182396,0.84,0.85
1966,101292,0.86,1.01
1977,101292,0.93,0.85
1999,101292,0.85,0.87
1966,182678,1.03,0.92
1977,182678,1.04,1.02
1999,182678,1.12,1.1
1966,10539,1.03,1.2
1977,10539,0.68,0.78
1999,10539,0.89,0.87
1966,202775,1.06,0.97
1977,202775,0.82,0.8
1999,202775,0.96,0.98
1966,132525,0.79,0.76
1977,132525,0.69,0.65
1999,132525,1.05,1.05
1966,40131,1.16,1.2
1977,40131,0.65,0.69
1999,40131,0.89,0.92
1966,140881,0.6,0.76
1977,140881,0.89,0.85
1999,140881,0.94,0.93
1966,192260,1.66,1.64
1977,192260,0.59,0.56
1999,192260,1.12,1.27
1966,20432,1.65,1.22
1977,20432,0.82,0.79
1999,20432,1.19,1.2
1966,30039,1.08,1.06
1977,30039,0.6,0.63
1999,30039,0.88,0.94
1966,30109,0.95,1.13
1977,30109,0.53,0.51
1999,30109,0.88,0.9
1966,40853,1.29,1.35
1977,40853,0.85,0.87
1999,40853,0.74,0.91
1966,112323,0.69,0.47
1977,112323,0.66,0.59
1999,112323,0.65,0.66
1966,10122,0.5,0.48
1977,10122,1.18,1.14
1999,10122,1.18,0.97
1966,162575,0.46,0.51
1977,162575,0.61,0.54
1999,162575,0.99,0.64
1966,10010,0.91,0.89
1977,10010,0.93,0.65
1999,10010,0.54,0.38
1966,30315,0.68,0.65
1977,30315,0.69,0.64
1999,30315,0.99,0.77
1966,10296,0.21,0.15
1977,10296,1.05,0.99
1999,10296,0.89,1.8
1966,161554,0.32,0.3
1977,161554,0.75,0.66
1999,161554,0.61,0.66
1966,190483,0.51,0.51
1977,190483,1.12,1.01
1999,190483,1.23,1.37
1966,172637,0.78,0.67
1977,172637,0.64,0.59
1999,172637,0.72,0.64
1966,201261,0.67,0.58
1977,201261,0.92,0.96
1999,201261,0.98,0.86
1966,30226,0.52,0.51
1977,30226,1.05,1.35
1999,30226,1.43,1.32
1966,190074,0.56,0.62
1977,190074,0.88,0.86
1999,190074,0.81,0.88
1966,202941,0.53,0.51
1977,202941,0.75,0.53
1999,202941,1.68,1.9
1966,172453,0.25,0.29
1977,172453,1.01,0.76
1999,172453,0.5,0.47
1966,202585,0.37,0.42
1977,202585,0.66,0.56
1999,202585,0.84,0.72
1966,152623,0.41,0.68
1977,152623,0.72,0.65
1999,152623,0.79,0.67
1966,80694,0.86,0.87
1977,80694,0.52,0.5
1999,80694,0.69,0.84
1977,122295,0.83,1.01
1999,122295,1.11,1.09
1966,162355,0.4,0.32
1977,162355,0.65,0.65
1999,162355,0.57,0.58
1966,72424,0.86,0.84
1977,72424,0.99,0.91
1999,72424,1.22,1.32
1966,150048,0.14,0.23
1977,150048,0.57,0.58
1999,150048,1.18,1.4
1966,22545,0.54,0.5
1977,22545,0.86,0.7
1999,22545,0.5,0.53
1966,32189,0.42,0.5
1977,32189,0.41,0.37
1999,32189,0.25,0.27
1966,50406,0.68,0.67
1977,50406,0.96,1.01
1999,50406,0.66,0.65
1966,50555,0.56,0.62
1977,50555,0.43,0.41
1999,50555,0.55,0.54
1966,60287,0.55,0.6
1977,60287,0.73,1.09
1999,60287,0.68,0.65
1966,70433,0.47,0.92
1977,70433,1,0.78
1999,70433,0.53,0.52
1966,80711,0.45,0.86
1977,80711,1.08,0.65
1999,80711,1.27,1.29
1966,82218,0.61,0.48
1977,82218,0.78,0.68
1999,82218,0.87,0.93
1966,90287,0.39,0.39
1977,90287,0.54,0.45
1999,90287,0.36,0.39
1966,91377,0.22,0.19
1977,91377,1,0.89
1999,91377,0.97,1
1966,102412,0.65,0.64
1977,102412,0.42,0.5
1999,102412,0.26,0.29
1966,110128,0.39,0.48
1977,110128,0.48,0.46
1999,110128,0.66,0.65
1977,110379,0.49,0.48
1999,110379,0.49,0.46
1966,110791,0.65,0.79
1977,110791,0.47,0.62
1999,110791,0.53,0.54
1966,110798,0.56,0.53
1977,110798,0.51,0.55
1999,110798,0.48,0.42
1966,110914,0.51,0.48
1977,110914,0.69,0.85
1999,110914,0.71,0.68
1966,111014,0.51,0.46
1977,111014,0.69,0.62
1999,111014,0.47,0.45
1966,111030,0.49,0.8
1977,111030,0.62,0.71
1999,111030,0.36,0.33
1966,111051,0.64,0.97
1977,111051,0.89,0.75
1999,111051,1.03,1.02
1966,111134,0.38,0.76
1977,111134,0.73,0.88
1999,111134,0.68,0.63
1966,121212,0.43,0.65
1977,121212,0.65,0.89
1999,121212,0.64,0.62
1966,121284,0.65,0.76
1977,121284,0.82,0.84
1999,121284,0.61,0.53
1966,131304,0.53,0.65
1977,131304,0.48,0.38
1999,131304,0.47,0.57
1966,160665,0.45,0.46
1977,160665,0.52,1.23
1999,160665,0.5,0.51
1966,160777,0.45,0.98
1977,160777,0.81,0.67
1999,160777,0.99,0.97
1966,160930,0.35,0.34
1977,160930,0.69,0.87
1999,160930,0.87,0.8
1966,170994,1.3,1.46
1977,170994,0.74,0.7
1999,170994,0.83,0.81
1966,172229,0.28,0.25
1977,172229,0.54,0.82
1999,172229,0.59,0.69
1966,180751,0.36,0.36
1977,180751,1.01,1
1999,180751,0.59,0.57
1966,180794,0.86,0.72
1977,180794,0.81,0.88
1999,180794,0.77,0.71
1966,190018,0.5,0.54
1977,190018,0.64,0.66
1999,190018,0.49,0.47
1966,190438,0.5,0.51
1977,190438,0.59,0.49
1999,190438,0.91,0.67
1966,200038,0.72,0.77
1977,200038,0.74,0.71
1999,200038,0.52,0.56
1966,200389,0.96,0.95
1977,200389,1.86,1.03
1999,200389,0.9,0.69
1966,190075,0.09,0.7
1977,190075,1.07,1.01
1999,190075,0.15,0.28
1966,82368,0.81,0.91
1977,82368,0.46,0.4
1999,82368,0.5,0.54
1966,130579,0.42,0.41
1977,130579,0.43,0.44
1999,130579,0.53,0.45
1966,100990,0.79,0.77
1977,100990,1.14,1.05
1999,100990,1.02,1.1
1966,90546,0.69,0.62
1977,90546,0.83,0.85
1999,90546,0.94,0.88
1966,60315,0.88,0.76
1977,60315,0.84,0.83
1999,60315,0.87,0.9
1966,80745,1.23,1.16
1977,80745,0.9,0.91
1999,80745,1.06,1.16
1966,70471,1.12,1.21
1977,70471,0.67,1.03
1999,70471,1.12,1.08
1966,80451,0.73,0.68
1977,80451,0.77,1.11
1999,80451,0.87,0.82
1966,50322,0.87,0.83
1977,50322,0.49,0.47
1999,50322,0.61,0.73
1966,101212,0.75,0.8
1977,101212,0.8,0.84
1999,101212,0.91,0.81
1966,70519,0.57,0.53
1977,70519,0.36,0.36
1999,70519,0.94,0.9
1966,70536,0.44,0.46
1977,70536,0.4,0.48
1999,70536,1.05,0.97
1966,60078,0.9,0.83
1977,60078,0.94,0.88
1999,60078,1.01,0.94
1966,70371,0.92,0.84
1977,70371,0.74,0.76
1999,70371,0.94,0.92
1966,60121,0.8,0.87
1977,60121,0.82,0.81
1999,60121,0.87,0.81
1966,80089,0.64,0.72
1977,80089,0.89,0.74
1999,80089,0.78,0.77
1966,60377,1.12,1.21
1977,60377,0.58,0.73
1999,60377,0.72,0.75
1966,90558,0.89,0.94
1977,90558,0.82,0.83
1999,90558,0.97,1
1966,70559,0.86,0.8
1977,70559,1.19,1.23
1999,70559,1.02,0.96
1966,90283,0.8,0.72
1977,90283,0.69,0.75
1999,90283,1.07,1.22
1966,50314,0.89,1.18
1977,50314,0.43,0.43
1999,50314,0.49,0.55
1966,162295,0.87,0.88
1977,162295,0.95,0.84
1999,162295,0.87,0.96
1966,112142,0.93,0.82
1977,112142,0.78,0.69
1999,112142,0.89,0.8
1966,180996,0.56,0.49
1977,180996,0.95,0.97
1999,180996,0.63,0.66
1977,142363,1.29,0.76
1999,142363,0.92,1.08
1966,142539,0.87,0.86
1977,142539,0.62,0.64
1999,142539,0.86,0.94
1966,162398,0.63,0.82
1977,162398,0.49,0.49
1999,162398,0.55,0.69
1966,72232,0.89,0.86
1977,72232,0.92,0.88
1999,72232,0.9,0.89
1966,92046,1.01,1.13
1977,92046,0.77,0.81
1999,92046,0.95,0.95
1966,52111,1.1,1.12
1977,52111,0.58,0.79
1999,52111,0.75,0.74
1966,60016,0.89,0.84
1977,60016,0.6,0.63
1999,60016,1.2,0.91
1966,132206,0.9,1
1977,132206,0.72,0.72
1999,132206,0.91,0.97
1966,82058,0.82,0.78
1977,82058,0.97,0.81
1999,82058,1.01,0.98
1966,32138,0.95,0.9
1977,32138,1,0.84
1999,32138,0.88,0.85
1966,102371,0.83,0.73
1977,102371,0.74,0.74
1999,102371,0.88,0.96
1966,172036,1.18,0.99
1977,172036,0.88,0.89
1999,172036,0.91,1.36
1966,70069,0.53,0.48
1977,70069,0.89,0.92
1999,70069,0.61,0.58
1966,90752,0.83,0.9
1977,90752,0.97,0.76
1999,90752,0.6,0.72
1966,102271,0.93,0.88
1977,102271,0.81,0.77
1999,102271,0.94,1.03
1966,60348,0.93,0.74
1977,60348,0.86,0.84
1999,60348,1.08,1
1966,90653,1.14,1.18
1977,90653,0.83,0.79
1999,90653,0.82,0.77
1966,40538,1.04,1
1977,40538,0.85,0.84
1999,40538,0.88,0.9
1966,60333,1.17,1.23
1977,60333,0.79,0.83
1999,60333,0.87,0.87
1966,40529,0.83,0.82
1977,40529,1.16,1.08
1999,40529,1.12,1.17
1966,50323,1.01,1.12
1977,50323,0.91,0.99
1999,50323,0.86,0.89
1966,60187,0.86,0.86
1977,60187,0.94,0.91
1999,60187,0.98,0.98
1966,60161,1.14,1.06
1977,60161,0.7,0.7
1999,60161,0.95,0.93
1966,70334,1.08,0.89
1977,70334,1.03,0.91
