drought,$\Delta$AICc,$Marginal R^2$,$Conditio'-l R^2$,Intercept,$ln[H]$,$ln[TWI]$,$ln[H]*ln[TWI]$,$PLA$,$\pi_{tlp}$,No variables
all,0,0.05,0.17,0.434,0.345,0.844,-0.269,-,-,-
,0.995,0.05,0.17,1.913,-0.126,-,-,-,-,-
,1.135,0.06,0.17,0.077,0.344,0.845,-0.269,-,-0.152,-
,1.991,0.05,0.18,0.41,0.346,0.843,-0.269,0.002,-,-
1966,0,0.01,0.28,-0.797,0.89,1.263,-0.475,-,-,-
,1.04,0,0.25,-,-,-,-,-,-,1.577
,1.367,0.02,0.3,-0.984,0.888,1.257,-0.474,0.013,-,-
,1.785,0,0.26,1.781,-,-0.114,-,-,-,-
,1.956,0.01,0.3,-1.025,0.89,1.261,-0.475,-,-0.097,-
1977,0,0.17,0.17,2.485,-0.482,-,-,-,-0.157,-
,0.299,0.17,0.17,2.943,-0.47,-,-,-0.008,-,-
,0.716,0.17,0.18,2.657,-0.477,-,-,-0.006,-0.114,-
,0.807,0.17,0.18,1.152,0.071,1.026,-0.308,-0.009,-,-
,0.875,0.17,0.18,2.729,-0.47,0.124,-,-0.009,-,-
,0.891,0.17,0.18,2.271,-0.479,0.115,-,-,-0.158,-
,0.91,0.17,0.18,0.712,0.054,1.004,-0.304,-,-0.159,-
,1.315,0.17,0.18,0.871,0.065,1.023,-0.308,-0.006,-0.112,-
,1.331,0.16,0.17,2.805,-0.464,-,-,-,-,-
,1.372,0.17,0.18,2.445,-0.475,0.122,-,-0.006,-0.112,-
,1.974,0.16,0.17,2.597,-0.466,0.118,-,-,-,-
1999,0,0,0.16,-,-,-,-,-,-,1.281
,0.532,0,0.17,1.093,-,0.105,-,-,-,-
,1.091,0.02,0.19,0.779,-,-,-,-,-0.212,-
,1.609,0.02,0.19,0.578,-,0.106,-,-,-0.217,-
,1.755,0,0.17,1.2,0.027,-,-,-,-,-
,1.996,0,0.18,1.251,-,-,-,0.002,-,-
