rank,dAICc,$R^2$,Intercept,$ln[H]$,D,C,I,S,$ln[TWI]$,D/SR,R,$PLA$,$\pi_{tlp}$
all,0,0.26,-172.496,-437.576,-114.18,0,75.375,81.801,-,0,254.89,7.592,-400.824
,0.219,0.26,102.739,-429.938,-116.874,0,73.419,80.228,-,0,224.41,-,-283.102
,0.872,0.26,50.476,-427.437,-115.784,0,75.642,81.977,-,0,223.001,-,-349.726
,0.987,0.26,-219.772,-432.196,-114.419,0,74.843,83.099,-,0,264.534,8.191,-428.38
1966,0,0.21,964.614,-433.719,-,-,-,-,-,0,170.641,-,-
1977,0,0.17,-144.835,-570.765,-,-,-,-,-,0,153.211,12.317,-536.952
,0.328,0.19,-244.432,-410.426,-214.825,0,90.001,154.936,-,-,-,-,-477.771
,0.515,0.18,-564.245,-448.26,-207.627,0,81.502,142.912,-,0,133.71,11.461,-553.111
,0.666,0.17,15.204,-565.876,-,-,-,-,-103.548,0,149.387,12.703,-539.966
,0.704,0.17,-544.811,-582.372,-,-,-,-,-,0,197.001,22.459,-751.303
,0.778,0.18,223.202,-555.643,-,-,-,-,-,0,105.02,-,-451.305
,0.813,0.19,-230.63,-432.149,-213.248,0,82.758,145.288,-,0,88.493,-,-474.612
,0.991,0.18,249.576,-540.066,-,-,-,-,-,-,-,-,-452.02
1999,0,0.2,-300.043,-512.811,-,-,-,-,177.904,0,411.456,-,-456.075
,0.204,0.21,-298.821,-500.55,-,-,-,-,166.576,0,437.501,-,-437.919
,0.442,0.21,-392.023,-500.279,-,-,-,-,176.925,0,441.736,-,-545.551
,0.465,0.2,13.786,-505.228,-,-,-,-,-,0,402.301,-,-450.637
,0.476,0.2,-206.735,-512.631,-,-,-,-,166.683,0,409.333,-,-347.115
,0.595,0.21,-723.413,-504.772,-,-,-,-,171.093,0,491.951,10.564,-635.552
,0.599,0.2,98.028,-505.653,-,-,-,-,-,0,400.721,-,-325.284
,0.641,0.21,5.687,-494.05,-,-,-,-,-,0,428.36,-,-416.705
