drought,$\Delta$AICc,$Marginal R^2$,$Conditional R^2$,Intercept,$ln[H]$,$ln[TWI]$,$ln[H]*ln[TWI]$,$PLA$,$\pi_{tlp}$
all,0,0.08,0.12,1.131,-0.057,-0.086,-,-0.012,-0.113
,0.583,0.06,0.11,1.423,-0.055,-0.086,-,-0.013,-
,0.726,0.08,0.12,1.537,-0.202,-0.326,0.082,-0.012,-0.114
,1.352,0.06,0.11,1.826,-0.198,-0.324,0.081,-0.013,-
1966,0,0.16,0.25,1.622,-0.135,-,-,-0.025,-
1977,0,0.06,0.22,0.503,-,-0.144,-,-,-0.24
,0.908,0.01,0.21,1.069,-,-0.144,-,-,-
,0.988,0.06,0.22,0.568,-0.03,-0.139,-,-,-0.246
,1.144,0.08,0.24,0.684,-,-0.142,-,-0.007,-0.204
,1.267,0.04,0.22,1.211,-,-0.141,-,-0.01,-
1999,0,0.01,0.18,1.061,-,-0.102,-,-,-
,0.023,0.04,0.19,0.659,-,-0.101,-,-,-0.169
,0.954,0.02,0.19,1.157,-,-0.1,-,-0.007,-
,1.513,0.05,0.21,0.783,-,-0.1,-,-0.005,-0.145
,1.803,0.01,0.18,1.024,0.013,-0.103,-,-,-
,1.901,0.04,0.19,0.635,0.011,-0.102,-,-,-0.166
