"prediction","variable","variable_description","null_model","tested_model","dAIC_variable","coef_direction","coef_variable"
1.1,"dbh.ln.cm","ln[DBH]","resist.value ~ year+(1|sp/tree)","resist.value ~ year+(1|sp/tree)+dbh.ln.cm",-7.411,"-","dbh.ln.cm (-0.035)"
1.2,"height.ln.m","ln[height]","resist.value ~ year+(1|sp/tree)","resist.value ~ year+(1|sp/tree)+height.ln.m",-7.591,"-","height.ln.m (-0.058)"
2.1,"elev.m","crown.position","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+elev.m",-0.343,"+","elev.m (0.001)"
2.2,"distance.ln.m","elevation","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+distance.ln.m",-0.78,"+","distance.ln.m (0.008)"
2.3,"position_all","stream.distance","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+position_all",-1.682,"-","position_alldominant (-0.044), position_allintermediate (-0.042), position_allsuppressed (-0.053)"
2.4,"TWI","topographic.wetness.index","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+TWI",-2.631,"-","TWI (-0.009)"
3.1,"rp","ring.porosity","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+rp",-3.553,"+","rpring (0.04), rpsemi-ring (0.013)"
3.2,"PLA_dry_percent","percent.leaf.area","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+PLA_dry_percent",-4.413,"-","PLA_dry_percent (-0.011)"
3.3,"LMA_g_per_m2","leaf.mass.area","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+LMA_g_per_m2",-1.895,"+","LMA_g_per_m2 (0.001)"
3.4,"mean_TLP_Mpa","mean.turgor.loss.point","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+mean_TLP_Mpa",-4.58,"-","mean_TLP_Mpa (-0.207)"
3.5,"WD_g_per_cm3","wood.density","resist.value ~ height.ln.m+year+(1|sp/tree)","resist.value ~ height.ln.m+year+(1|sp/tree)+WD_g_per_cm3",-2.018,"+","WD_g_per_cm3 (0.005)"
