"Modnames","Delta_AICc","scenario","coef"
"resist.value ~ height.ln.m+TWI.ln+PLA_dry_percent+mean_TLP_Mpa+year+(1|sp/tree)",0,"trees_all_sub",NA
"resist.value ~ height.ln.m+TWI.ln+PLA_dry_percent+year+(1|sp/tree)",0.58,"trees_all_sub",NA
"resist.value ~ height.ln.m+TWI.ln+position_all+PLA_dry_percent+mean_TLP_Mpa+year+(1|sp/tree)",0.7,"trees_all_sub",NA
"resist.value ~ height.ln.m*TWI.ln+PLA_dry_percent+mean_TLP_Mpa+year+(1|sp/tree)",0.73,"trees_all_sub",NA
"resist.value ~ height.ln.m+TWI.ln+position_all+PLA_dry_percent+year+(1|sp/tree)",0.78,"trees_all_sub",NA
"resist.value ~ height.ln.m*TWI.ln+position_all+PLA_dry_percent+mean_TLP_Mpa+year+(1|sp/tree)",1.24,"trees_all_sub",NA
"resist.value ~ height.ln.m*TWI.ln+position_all+PLA_dry_percent+year+(1|sp/tree)",1.35,"trees_all_sub",NA
"resist.value ~ height.ln.m*TWI.ln+PLA_dry_percent+year+(1|sp/tree)",1.35,"trees_all_sub",NA
"resist.value ~ height.ln.m+PLA_dry_percent+(1|sp)",0,"x1966",NA
"resist.value ~ height.ln.m+position_all+PLA_dry_percent+(1|sp)",1.99,"x1966",NA
"resist.value ~ TWI.ln+position_all+mean_TLP_Mpa+(1|sp)",0,"x1977",NA
"resist.value ~ TWI.ln+mean_TLP_Mpa+(1|sp)",0.04,"x1977",NA
"resist.value ~ TWI.ln+(1|sp)",0.94,"x1977",NA
"resist.value ~ height.ln.m+TWI.ln+mean_TLP_Mpa+(1|sp)",1.02,"x1977",NA
"resist.value ~ TWI.ln+position_all+PLA_dry_percent+mean_TLP_Mpa+(1|sp)",1.12,"x1977",NA
"resist.value ~ TWI.ln+PLA_dry_percent+mean_TLP_Mpa+(1|sp)",1.18,"x1977",NA
"resist.value ~ TWI.ln+position_all+(1|sp)",1.23,"x1977",NA
"resist.value ~ TWI.ln+PLA_dry_percent+(1|sp)",1.3,"x1977",NA
"resist.value ~ TWI.ln+position_all+PLA_dry_percent+(1|sp)",1.51,"x1977",NA
"resist.value ~ height.ln.m+TWI.ln+position_all+mean_TLP_Mpa+(1|sp)",1.93,"x1977",NA
"resist.value ~ height.ln.m+TWI.ln+position_all+(1|sp)",0,"x1999",NA
"resist.value ~ TWI.ln+position_all+(1|sp)",0.1,"x1999",NA
"resist.value ~ TWI.ln+(1|sp)",0.24,"x1999",NA
"resist.value ~ TWI.ln+mean_TLP_Mpa+(1|sp)",0.26,"x1999",NA
"resist.value ~ height.ln.m+TWI.ln+position_all+mean_TLP_Mpa+(1|sp)",0.52,"x1999",NA
"resist.value ~ TWI.ln+position_all+mean_TLP_Mpa+(1|sp)",0.6,"x1999",NA
"resist.value ~ height.ln.m+TWI.ln+position_all+PLA_dry_percent+(1|sp)",0.9,"x1999",NA
"resist.value ~ TWI.ln+position_all+PLA_dry_percent+(1|sp)",1,"x1999",NA
"resist.value ~ TWI.ln+PLA_dry_percent+(1|sp)",1.19,"x1999",NA
"resist.value ~ TWI.ln+PLA_dry_percent+mean_TLP_Mpa+(1|sp)",1.75,"x1999",NA
"resist.value ~ height.ln.m+position_all+(1|sp)",1.8,"x1999",NA
"resist.value ~ height.ln.m*TWI.ln+position_all+(1|sp)",1.89,"x1999",NA
"resist.value ~ height.ln.m+TWI.ln+position_all+PLA_dry_percent+mean_TLP_Mpa+(1|sp)",1.92,"x1999",NA
