drought,dAICc,R2,Intercept,ln[H],D,C,I,S,ln[TWI],diffuse,semi-ring,ring,PLA,TLP
all,0,0.11,1.108,-0.062,-,-,-,-,-0.085,-,-,-,-0.012,-0.105
,0.338,0.1,1.494,-0.097,-0.036,0,-0.038,-0.056,-0.078,-,-,-,-0.013,-
,0.403,0.12,1.263,-0.096,-0.035,0,-0.036,-0.053,-0.078,-,-,-,-0.012,-0.087
,0.515,0.12,1.393,-0.064,-,-,-,-,-0.087,0,0.147,0.048,-0.017,-
,0.571,0.1,1.375,-0.061,-,-,-,-,-0.085,-,-,-,-0.013,-
,0.903,0.12,1.492,-0.098,-0.034,0,-0.036,-0.053,-0.079,0,0.122,0.049,-0.016,-
1996,0,0.26,2.271,-0.153,-,-,-,-,-,0,0.35,0.152,-0.035,0.25
,0.537,0.26,1.537,-0.154,-,-,-,-,-,0,0.098,0.133,-0.023,-
,1.093,0.27,2.389,-0.177,-0.038,0,0.016,-0.068,-,0,0.352,0.153,-0.035,0.27
,1.434,0.24,1.629,-0.143,-,-,-,-,-,-,-,-,-0.024,-
,1.982,0.26,2.307,-0.152,-,-,-,-,-0.016,0,0.356,0.152,-0.035,0.254
1977,0,0.22,0.346,-,-0.074,0,-0.027,0.042,-0.131,0,-0.331,-0.23,-,-0.384
,0.09,0.21,0.393,-,-,-,-,-,-0.14,0,-0.324,-0.234,-,-0.369
,1.116,0.21,0.46,-0.026,-,-,-,-,-0.137,0,-0.316,-0.225,-,-0.367
,1.914,0.22,0.367,-0.006,-0.073,0,-0.029,0.037,-0.13,0,-0.33,-0.229,-,-0.383
1999,0,0.25,1.284,-0.081,0.003,0,-0.077,-0.095,-0.087,0,0.22,0.193,-0.008,-
,0.085,0.25,0.844,-0.082,0.001,0,-0.078,-0.095,-0.085,0,0.062,0.185,-,-0.142
,0.462,0.23,1.174,-0.083,0.002,0,-0.079,-0.099,-0.088,0,0.135,0.2,-,-
,0.956,0.24,1.042,-,-,-,-,-,-0.1,0,0.261,0.191,-0.01,-
,1.029,0.24,0.7,-0.09,-0.002,0,-0.082,-0.101,-,0,0.046,0.185,-,-0.151
,1.193,0.24,1.159,-0.089,0,0,-0.081,-0.101,-,0,0.21,0.194,-0.008,-
,1.326,0.24,0.533,-,-,-,-,-,-0.098,0,0.077,0.181,-,-0.161
,1.849,0.26,1.046,-0.079,0.002,0,-0.077,-0.094,-0.086,0,0.14,0.188,-0.005,-0.078
,1.851,0.22,1.045,-0.092,-0.001,0,-0.084,-0.105,-,0,0.123,0.201,-,-
